what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1314335177365
started,bundle,org.eclipse.emf.common,2.6.0.v20100914-1218,"org.eclipse.emf.common",1314335177365
started,bundle,org.eclipse.emf.ecore,2.6.1.v20100914-1218,"org.eclipse.emf.ecore",1314335177380
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1314335177380
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1314335177380
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1314335177380
started,bundle,org.eclipse.wst.web,1.1.403.v201103081400,"org.eclipse.wst.web",1314335177380
started,bundle,org.eclipse.wst.xml.core,1.1.504.v201104070043,"org.eclipse.wst.xml.core",1314335177380
os,sysinfo,,,"win32",1314335177396
arch,sysinfo,,,"x86",1314335177396
ws,sysinfo,,,"win32",1314335177396
locale,sysinfo,,,"hi_IN",1314335177396
processors,sysinfo,,,"2",1314335177396
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1314335177396
java.runtime.version,sysinfo,,,"1.6.0_06-b02",1314335177396
java.specification.name,sysinfo,,,"Java Platform API Specification",1314335177396
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1314335177396
java.specification.version,sysinfo,,,"1.6",1314335177396
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1314335177396
java.version,sysinfo,,,"1.6.0_06",1314335177396
java.vm.info,sysinfo,,,"mixed mode",1314335177396
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1314335177396
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1314335177396
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1314335177396
java.vm.specification.version,sysinfo,,,"1.0",1314335177396
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1314335177396
java.vm.version,sysinfo,,,"10.0-b22",1314335177396
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1314335972670
started,bundle,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.resources",1314335972701
started,bundle,org.eclipse.emf.edit,2.6.0.v20100914-1218,"org.eclipse.emf.edit",1314335973575
started,bundle,org.eclipse.emf.common.ui,2.6.0.v20100914-1218,"org.eclipse.emf.common.ui",1314335973575
started,bundle,org.eclipse.emf.edit.ui,2.6.0.v20100914-1218,"org.eclipse.emf.edit.ui",1314335973575
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice.ui",1314335973590
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1314335973606
started,bundle,org.eclipse.wst.common.emf,1.2.3.v201012100400,"org.eclipse.wst.common.emf",1314335973621
started,bundle,org.eclipse.jem.util,2.1.3.v201012070000,"org.eclipse.jem.util",1314335973621
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.3.v201012020600,"org.eclipse.wst.common.emfworkbench.integration",1314335973621
started,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1314335973637
started,bundle,org.eclipse.jst.jee.ui,1.0.300.v201005191301,"org.eclipse.jst.jee.ui",1314335973793
started,bundle,org.eclipse.jst.j2ee.ui,1.1.400.v201006030400,"org.eclipse.jst.j2ee.ui",1314335973793
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.400.v201004280900,"org.eclipse.jst.j2ee.navigator.ui",1314335973793
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1314335973840
started,bundle,org.eclipse.wst.common.modulecore,1.2.6.v201103310300,"org.eclipse.wst.common.modulecore",1314335973855
started,bundle,org.eclipse.jst.j2ee.core,1.2.5.v201104261700,"org.eclipse.jst.j2ee.core",1314335973855
started,bundle,org.eclipse.jem,2.0.401.v201104271300,"org.eclipse.jem",1314335973918
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1314335973949
started,bundle,org.eclipse.wst.validation,1.2.202.v201103212041,"org.eclipse.wst.validation",1314335973996
